thread-0 started executing at 2025-02-01T19:44:23.017838100Z with 57 queries.
1: SELECT p.flightid, p.altitude, p.airplanetype, p.timestamp FROM flightpoints p JOIN cities c ON ST_DWithin(p.geom, c.geom, 65)   WHERE p.altitude <= 950 AND c.population >= 200000;

flightid	altitude	airplanetype	timestamp	
740027491	940.1	PA44	2023-08-11 09:06:49	
727869010	869	P46T	2023-06-25 08:54:27	
698221110	857.5	E190	2023-02-14 20:46:42	
701683590	513.1	DA40	2023-03-06 11:29:02	
730129950	662.4	C172	2023-07-04 08:41:47	
691893930	244.1	EC35	2023-01-02 20:42:01	
745934810	871.2	A320	2023-09-03 07:37:40	
726568150	699.6	P46T	2023-06-20 07:17:11	
692627920	776.5	P28A	2023-01-07 16:13:18	
706455870	579.8	C172	2023-03-29 14:52:12	
757359530	700.7	P28A	2023-09-19 09:27:18	
692763130	648.6	PA44	2023-01-08 17:04:19	
718904360	382.3	M20P	2023-05-23 14:58:14	
763048000	697.3	PA44	2023-10-30 16:25:59	
706424060	548	PA44	2023-03-29 12:08:19	
712821590	640.3	A321	2023-04-30 08:48:09	
713484680	622.6	P28A	2023-05-02 16:59:37	
733528530	482.5	PA44	2023-07-17 10:14:12	
733883220	518.1	PA44	2023-07-18 15:38:19	
715713131	920.4	C172	2023-05-10 17:24:31	
722614970	424.5	SW4	2023-06-05 15:41:20	
693416110	816.4	P46T	2023-01-13 16:41:48	
729670011	945.8	SR20	2023-07-02 11:38:44	
727596640	308.1	C172	2023-06-24 11:01:03	
767466890	492.2	DA40	2023-11-22 10:59:55	
714041940	343.5	LJ35	2023-05-03 11:39:28	
728456690	517.7	M20P	2023-06-27 10:53:59	
740792020	415.4	PA44	2023-08-13 17:08:39	
714172120	859.1	A320	2023-05-03 19:43:14	
741323230	870.9	A320	2023-08-15 20:24:22	
733899670	284.5	EVOT	2023-07-18 15:52:32	
709735390	71.6	B738	2023-04-14 18:59:18	
694892570	639.3	P28A	2023-01-03 16:56:41	
764511711	938.6	A319	2023-11-07 10:23:35	
726855520	465.5	PA44	2023-06-21 11:08:18	
706231990	404.1	P28A	2023-03-28 13:49:32	
768019420	484.6	BE33	2023-11-25 11:18:33	
723398031	916.4	B738	2023-06-08 17:28:06	
771298150	895.5	A20N	2023-12-14 10:37:46	
707789400	673.2	TBM8	2023-04-05 13:22:46	
705929730	134.5	A320	2023-03-26 14:06:11	
710086830	360.3	DA40	2023-04-16 18:17:24	

2: WITH hourly_flights AS ( SELECT generate_series( DATE '2023-05-04'::timestamp, DATE '2023-05-04' + INTERVAL '1 day' - INTERVAL '1 second', INTERVAL '1 hour' ) AS start_time ), filtered_flights AS ( SELECT f.flightid, g.name AS municipality_name, g.geom as polygon, attime(f.trip, span('2023-05-04'::timestamp, '2023-05-04'::timestamp + INTERVAL '1 day')) AS daily_trip FROM flights f JOIN municipalities g ON f.trip && stbox(g.geom, span('2023-05-04'::timestamp, '2023-05-04'::timestamp + INTERVAL '1 day')) WHERE g.name = 'Gem Marsberg' ) SELECT h.start_time, COUNT(f.flightid) AS active_flights FROM hourly_flights h LEFT JOIN filtered_flights f ON eintersects(attime(f.daily_trip, span(h.start_time, h.start_time + INTERVAL '1 hour' - INTERVAL '1 second')), polygon) WHERE f.municipality_name = 'Gem Marsberg' GROUP BY h.start_time ORDER BY h.start_time;

start_time	active_flights	
2023-05-04 00:00:00	2	
2023-05-04 01:00:00	3	
2023-05-04 02:00:00	1	
2023-05-04 03:00:00	2	
2023-05-04 04:00:00	2	
2023-05-04 05:00:00	7	
2023-05-04 06:00:00	7	
2023-05-04 07:00:00	8	
2023-05-04 08:00:00	11	
2023-05-04 09:00:00	6	
2023-05-04 10:00:00	6	
2023-05-04 11:00:00	7	
2023-05-04 12:00:00	6	
2023-05-04 13:00:00	5	
2023-05-04 14:00:00	4	
2023-05-04 15:00:00	6	
2023-05-04 16:00:00	8	
2023-05-04 17:00:00	4	
2023-05-04 18:00:00	5	
2023-05-04 19:00:00	5	
2023-05-04 20:00:00	6	
2023-05-04 21:00:00	7	
2023-05-04 22:00:00	3	

3: WITH relevant_airports AS ( SELECT a.icao as icao FROM airports a JOIN cities c ON a.city = c.name ), airport_city_mapping AS ( SELECT a.icao, COALESCE(c.name, 'abroad') AS city_name FROM airports a LEFT JOIN cities c ON a.city = c.name ) SELECT f.flightid, f.origin AS origin_airport, acm1.city_name AS origin_city, f.destination AS destination_airport, acm2.city_name AS destination_city FROM flights f JOIN counties k ON k.name = 'Krs Duesseldorf' LEFT JOIN airport_city_mapping acm1 ON f.origin = acm1.icao LEFT JOIN airport_city_mapping acm2 ON f.destination = acm2.icao WHERE (f.origin IN (SELECT icao FROM relevant_airports) OR f.destination IN (SELECT icao FROM relevant_airports)) AND f.trip && stbox(k.geom, tstzspan'[2023-06-08 13:09:05, 2023-06-08 19:28:17]') AND eintersects(attime(f.trip, tstzspan'[2023-06-08 13:09:05, 2023-06-08 19:28:17]'), k.geom) ORDER BY origin_airport, destination_airport, f.flightid;

flightid	origin_airport	origin_city	destination_airport	destination_city	
723361871	EDDM	abroad	EDDL	Duesseldorf	
723380870	EDDM	abroad	EDDL	Duesseldorf	
723380871	EDDM	abroad	EDDL	Duesseldorf	
723338370	EDFH	abroad	EDDL	Duesseldorf	
723332401	EDKA	Aachen	EDLW	Dortmund	
723358041	EDLW	Dortmund	LEAL	abroad	
723359390	EDXW	abroad	EDDL	Duesseldorf	
723375760	EFHK	abroad	EDDL	Duesseldorf	
723368070	EGLC	abroad	EDDL	Duesseldorf	
723359491	EGLL	abroad	EDDK	Cologne	
723320050	EGLL	abroad	EDDL	Duesseldorf	
723387300	EGPH	abroad	EDDL	Duesseldorf	
723344551	EGSS	abroad	EDDK	Cologne	
723303890	EHAM	abroad	EDDL	Duesseldorf	
723367500	EHAM	abroad	EDDL	Duesseldorf	
723369940	EIDW	abroad	EDDL	Duesseldorf	
723388430	EKCH	abroad	EDDL	Duesseldorf	
723366060	ENGM	abroad	EDDL	Duesseldorf	
723372990	ENGM	abroad	EDDL	Duesseldorf	
723387970	ENGM	abroad	EDDL	Duesseldorf	
723327190	EPWR	abroad	EDDL	Duesseldorf	
723327191	EPWR	abroad	EDDL	Duesseldorf	
723343860	GCFV	abroad	EDDL	Duesseldorf	
723391630	HESH	abroad	EDDL	Duesseldorf	
723391631	HESH	abroad	EDDL	Duesseldorf	
723372440	LDSP	abroad	EDDL	Duesseldorf	
723372441	LDSP	abroad	EDDL	Duesseldorf	
723394850	LDSP	abroad	EDDL	Duesseldorf	
723394851	LDSP	abroad	EDDL	Duesseldorf	
723350460	LEBB	abroad	EDDL	Duesseldorf	
723343580	LEBL	abroad	EDDL	Duesseldorf	
723340860	LEIB	abroad	EDDL	Duesseldorf	
723382770	LEMD	abroad	EDDL	Duesseldorf	
723325201	LEMG	abroad	EDLW	Dortmund	
723376051	LEPA	abroad	EDDG	Muenster	
723290180	LEPA	abroad	EDDL	Duesseldorf	
723290181	LEPA	abroad	EDDL	Duesseldorf	
723306490	LEPA	abroad	EDDL	Duesseldorf	
723308670	LEPA	abroad	EDDL	Duesseldorf	
723342980	LEPA	abroad	EDDL	Duesseldorf	
723362540	LEPA	abroad	EDDL	Duesseldorf	
723379160	LEPA	abroad	EDDL	Duesseldorf	
723323641	LEPA	abroad	EDLW	Dortmund	
723363180	LEVC	abroad	EDDL	Duesseldorf	
723361360	LFMN	abroad	EDDL	Duesseldorf	
723333650	LFMP	abroad	EDDL	Duesseldorf	
723304060	LFPG	abroad	EDDL	Duesseldorf	
723341810	LFPG	abroad	EDDL	Duesseldorf	
723282110	LGAV	abroad	EDDL	Duesseldorf	
723331270	LGKO	abroad	EDDL	Duesseldorf	
723331271	LGKO	abroad	EDDL	Duesseldorf	
723304820	LGRP	abroad	EDDL	Duesseldorf	
723304821	LGRP	abroad	EDDL	Duesseldorf	
723317510	LGRP	abroad	EDDL	Duesseldorf	
723317511	LGRP	abroad	EDDL	Duesseldorf	
723288850	LICC	abroad	EDDL	Duesseldorf	
723288851	LICC	abroad	EDDL	Duesseldorf	
723305650	LIME	abroad	EDDL	Duesseldorf	
723305651	LIME	abroad	EDDL	Duesseldorf	
723354030	LIML	abroad	EDDL	Duesseldorf	
723354031	LIML	abroad	EDDL	Duesseldorf	
723321590	LIPZ	abroad	EDDL	Duesseldorf	
723321591	LIPZ	abroad	EDDL	Duesseldorf	
723307140	LOWW	abroad	EDDL	Duesseldorf	
723307141	LOWW	abroad	EDDL	Duesseldorf	
723353130	LOWW	abroad	EDDL	Duesseldorf	
723353131	LOWW	abroad	EDDL	Duesseldorf	
723332090	LPMA	abroad	EDDL	Duesseldorf	
723386710	LPMA	abroad	EDDL	Duesseldorf	
723365050	LPPT	abroad	EDDL	Duesseldorf	
723348300	LROP	abroad	EDDL	Duesseldorf	
723348301	LROP	abroad	EDDL	Duesseldorf	
723298060	LSZH	abroad	EDDL	Duesseldorf	
723298061	LSZH	abroad	EDDL	Duesseldorf	
723360410	LSZH	abroad	EDDL	Duesseldorf	
723375310	LSZH	abroad	EDDL	Duesseldorf	
723394500	LSZH	abroad	EDDL	Duesseldorf	
723394501	LSZH	abroad	EDDL	Duesseldorf	
723384800	LTAC	abroad	EDDL	Duesseldorf	
723384801	LTAC	abroad	EDDL	Duesseldorf	
723283350	LTAI	abroad	EDDL	Duesseldorf	
723289620	LTAI	abroad	EDDL	Duesseldorf	
723289621	LTAI	abroad	EDDL	Duesseldorf	
723358510	LTAI	abroad	EDDL	Duesseldorf	
723358511	LTAI	abroad	EDDL	Duesseldorf	
723376260	LTAI	abroad	EDDL	Duesseldorf	
723376261	LTAI	abroad	EDDL	Duesseldorf	
723381530	LTAI	abroad	EDDL	Duesseldorf	
723381531	LTAI	abroad	EDDL	Duesseldorf	
723392180	LTAI	abroad	EDDL	Duesseldorf	
723392181	LTAI	abroad	EDDL	Duesseldorf	
723395890	LTAI	abroad	EDDL	Duesseldorf	
723395891	LTAI	abroad	EDDL	Duesseldorf	
723393760	LTAJ	abroad	EDDL	Duesseldorf	
723393761	LTAJ	abroad	EDDL	Duesseldorf	
723296520	LTBJ	abroad	EDDL	Duesseldorf	
723296521	LTBJ	abroad	EDDL	Duesseldorf	
723384140	LTBJ	abroad	EDDL	Duesseldorf	
723384141	LTBJ	abroad	EDDL	Duesseldorf	
723385880	LTBS	abroad	EDDL	Duesseldorf	
723385881	LTBS	abroad	EDDL	Duesseldorf	
723356930	LTFD	abroad	EDDL	Duesseldorf	
723356931	LTFD	abroad	EDDL	Duesseldorf	
723340140	LTFJ	abroad	EDDL	Duesseldorf	
723340141	LTFJ	abroad	EDDL	Duesseldorf	
723344800	LTFJ	abroad	EDDL	Duesseldorf	
723295860	LTFM	NULL	EDDL	Duesseldorf	
723295861	LTFM	NULL	EDDL	Duesseldorf	
723364180	LTFM	NULL	EDDL	Duesseldorf	
723364181	LTFM	NULL	EDDL	Duesseldorf	
723284370	OMDB	abroad	EDDL	Duesseldorf	
723284370	OMDB	abroad	EDDL	Duesseldorf	
723284371	OMDB	abroad	EDDL	Duesseldorf	
723393130	OMDB	abroad	EDDL	Duesseldorf	
723393131	OMDB	abroad	EDDL	Duesseldorf	
723293660	OTHH	NULL	EDDL	Duesseldorf	
723293661	OTHH	NULL	EDDL	Duesseldorf	
723366640	SKBO	abroad	EDDL	Duesseldorf	
723338410	UDYZ	abroad	EDDL	Duesseldorf	
723338411	UDYZ	abroad	EDDL	Duesseldorf	

4: SELECT f.flightid, valueAtTimeStamp(f.altitude, timestamptz'2023-07-14 22:23:21'), ST_asText(valueAtTimeStamp(f.trip, timestamptz'2023-07-14 22:23:21')) AS location, timestamptz'2023-07-14 22:23:21' FROM flights f WHERE attime(f.trip, timestamptz'2023-07-14 22:23:21') IS NOT NULL;

flightid	valueattimestamp	location	timestamptz	
732963561	3656.1	POINT(7.2216768 51.7148804)	2023-07-14 22:23:21+02	
732964601	7010.8	POINT(6.5501371 50.4218406)	2023-07-14 22:23:21+02	
732963061	2573.6	POINT(7.0542269 51.2639686)	2023-07-14 22:23:21+02	
732963971	5445.6	POINT(7.9315522 51.269769)	2023-07-14 22:23:21+02	
732967021	10668	POINT(7.4933608 52.0951505)	2023-07-14 22:23:21+02	
732966931	11285.4	POINT(7.8902976 52.0094996)	2023-07-14 22:23:21+02	
732961740	269.1	POINT(6.8093739 51.3128424)	2023-07-14 22:23:21+02	
732963911	5408.1	POINT(6.6599833 50.9374074)	2023-07-14 22:23:21+02	
732965881	11195.8	POINT(6.6430426 51.1359616)	2023-07-14 22:23:21+02	
732962271	1168.5	POINT(6.8570175 50.9923179)	2023-07-14 22:23:21+02	
732962771	1757.1	POINT(7.1064607 51.5352485)	2023-07-14 22:23:21+02	
732961970	615.3	POINT(6.8886721 51.3504852)	2023-07-14 22:23:21+02	
732967061	11277.6	POINT(6.4499797 50.3682978)	2023-07-14 22:23:21+02	
732964521	11981.9	POINT(7.2451043 52.1772536)	2023-07-14 22:23:21+02	
732962611	1448.1	POINT(7.1297874 51.4602379)	2023-07-14 22:23:21+02	
732964331	6881	POINT(8.3244673 51.154593)	2023-07-14 22:23:21+02	
732963781	4921.1	POINT(7.9376072 51.3091786)	2023-07-14 22:23:21+02	
732962241	955.4	POINT(6.9689281 51.3884094)	2023-07-14 22:23:21+02	
732965691	9144	POINT(8.79468 51.682944)	2023-07-14 22:23:21+02	
732963281	2835.5	POINT(6.6103433 51.6533506)	2023-07-14 22:23:21+02	
732962961	1629.9	POINT(7.034139 51.2852215)	2023-07-14 22:23:21+02	
732964201	10972.8	POINT(6.9595498 52.158073)	2023-07-14 22:23:21+02	
732962311	1775.2	POINT(7.6281112 51.3149102)	2023-07-14 22:23:21+02	
732963551	10564.2	POINT(7.7211394 51.7825719)	2023-07-14 22:23:21+02	
732967151	11277.6	POINT(6.6138708 50.50384)	2023-07-14 22:23:21+02	
732964151	6150.5	POINT(6.5357091 50.7860602)	2023-07-14 22:23:21+02	
732965081	10363.2	POINT(9.196839 51.507638)	2023-07-14 22:23:21+02	
732962371	1250	POINT(8.9600098 51.7502038)	2023-07-14 22:23:21+02	
732966041	10965.6	POINT(6.2040855 51.2714422)	2023-07-14 22:23:21+02	
732963691	3038.5	POINT(6.8456993 51.0860725)	2023-07-14 22:23:21+02	

5: SELECT k.name, COUNT(*) as flight_count FROM counties k JOIN flights f ON f.traj && k.geom WHERE k.name = 'Krs Moenchengladbach' AND st_intersects(f.traj, k.geom) GROUP BY k.name;

name	flight_count	
Krs Moenchengladbach	88656	

6: SELECT f.flightId, f.track, f.airplanetype, f.origin, f.destination FROM cities AS c JOIN flights AS f ON eDwithin(attime(f.trip, tstzspan'[2023-01-01 00:00:00, 2023-01-01 08:00:00]'), c.geom, 2000) WHERE c.name = 'Bad Salzuflen' AND f.trip && tstzspan'[2023-01-01 00:00:00, 2023-01-01 08:00:00]';

flightid	track	airplanetype	origin	destination	

7: WITH hourly_flights AS ( SELECT generate_series( DATE '2023-05-31'::timestamp, DATE '2023-05-31' + INTERVAL '1 day' - INTERVAL '1 second', INTERVAL '1 hour' ) AS start_time ), filtered_flights AS ( SELECT f.flightid, g.name AS municipality_name, g.geom as polygon, attime(f.trip, span('2023-05-31'::timestamp, '2023-05-31'::timestamp + INTERVAL '1 day')) AS daily_trip FROM flights f JOIN municipalities g ON f.trip && stbox(g.geom, span('2023-05-31'::timestamp, '2023-05-31'::timestamp + INTERVAL '1 day')) WHERE g.name = 'Gem Aachen' ) SELECT h.start_time, COUNT(f.flightid) AS active_flights FROM hourly_flights h LEFT JOIN filtered_flights f ON eintersects(attime(f.daily_trip, span(h.start_time, h.start_time + INTERVAL '1 hour' - INTERVAL '1 second')), polygon) WHERE f.municipality_name = 'Gem Aachen' GROUP BY h.start_time ORDER BY h.start_time;

start_time	active_flights	
2023-05-31 00:00:00	9	
2023-05-31 01:00:00	6	
2023-05-31 02:00:00	6	
2023-05-31 03:00:00	5	
2023-05-31 04:00:00	18	
2023-05-31 05:00:00	16	
2023-05-31 06:00:00	15	
2023-05-31 07:00:00	12	
2023-05-31 08:00:00	13	
2023-05-31 09:00:00	16	
2023-05-31 10:00:00	19	
2023-05-31 11:00:00	28	
2023-05-31 12:00:00	10	
2023-05-31 13:00:00	17	
2023-05-31 14:00:00	17	
2023-05-31 15:00:00	20	
2023-05-31 16:00:00	19	
2023-05-31 17:00:00	23	
2023-05-31 18:00:00	19	
2023-05-31 19:00:00	15	
2023-05-31 20:00:00	4	
2023-05-31 21:00:00	7	
2023-05-31 22:00:00	9	
2023-05-31 23:00:00	1	

8: SELECT f.flightid, f.airplaneType, f.origin, f.destination, ST_Distance(f.traj, ST_GeogFromText('SRID=4326;POINT(7.9319714196871915 51.261173877480914)')) AS min_distance FROM flights f WHERE ST_DWithin(f.traj, ST_GeogFromText('SRID=4326;POINT(7.9319714196871915 51.261173877480914)'), 115)   ORDER BY min_distance ASC;

flightid	airplanetype	origin	destination	min_distance	
706774631	GLF5	EDDM	KTEB	11.85324986	
698683031	A320	GCFV	EDDB	14.98351621	
746403911	CRJ9	EDDF	EHAM	15.89349503	
706224771	SW4	EDDG	LEGE	16.20704634	
742737261	A320	LATI	EDDL	19.8645132	
720475751	PAY4	LDLO	EDLD	20.20553356	
707606461	A320	EDDF	EHAM	20.34952063	
722360671	B77W	OMDB	EDDL	21.07229329	
717096211	B738	LGRX	EDDL	22.68916281	
721150241	A20N	EDLW	LQTZ	24.6510534	
730996801	B738	LTAS	EDDL	25.25368159	
722176771	C560	EHGG	EDDM	27.83058154	
710172571	A21N	EDLW	LQBK	29.221954	
713802911	B77W	OMDB	EDDL	30.01086138	
